SMILES,CID
O.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(O)=O.C[C@H]5COc6c(N7CCN(C)CC7)c(F)cc8C(=O)C(=CN5c68)C(O)=O,3033924
O.O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[La+3],165791
[La+3].O[N+]([O-])=O.O[N+]([O-])=O.O[N+]([O-])=O,24918
[Cl-].[Cl-].[Cl-].[Lu+3],24919
[Lu+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,24920
[Pb++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,24924
O(P(Oc1ccccc1)Oc2ccccc2)c3ccccc3,7540
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,7541
CCCCC(CC)CN(CCO)CC(CC)CCCC,101571
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,7543
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,7547
CC(C)OC(=O)Nc1cccc(Cl)c1,2728
O=NN1CN2CN(C1)CN(C2)N=O,7549
ClCC#CCOC(=O)Nc1cccc(Cl)c1,7551
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,154417
CCCCCCC(C/C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C\CC(CCCCCC)OC(C)=O)OC(=O)CCCCCCC\C=C\CC(CCCCCC)OC(C)=O)OC(C)=O,5462724
COC(=O)Cc1ccccc1,7559
CN(C)C(=O)Nc1ccccc1,7560
CC(=C)C(=O)OC1CCCCC1,7561
COC(Cc1ccccc1)OC,60995
Oc1ccc(Cc2ccccc2)cc1,7563
Nc1ccc(Nc2ccccc2)cc1,7564
Brc1ccc(Oc2ccccc2)cc1,7565
[O-][N+](=O)c1ccc(Oc2ccc(cc2)[N+]([O-])=O)cc1,7568
CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1,7569
CC(C)Nc1ccc(Nc2ccccc2)cc1,7573
CC(C)Oc1ccc(Nc2ccccc2)cc1,7574
Clc1ccc(Cc2ccc(Cl)cc2)cc1,7576
Nc1ccc(Cc2ccc(N)cc2)cc1,7577
Nc1ccc(Oc2ccc(Cl)cc2)cc1,7578
Nc1ccc(Oc2ccc(N)cc2)cc1,7579
C(c1ccccc1)c2ccccc2,7580
C(c1ccccc1)c2ccccn2,7581
C1CCC(CC1)NC2CCCCC2,7582
O(c1ccccc1)c2ccccc2,7583
C1OC1COc2cccc(OCC3CO3)c2,7586
CCC(C)Nc1ccc(NC(C)CC)cc1,7589
CCOC(=O)Nc1ccccc1,7591
CC1(C)[C@@H](\C=C/C(=O)OC(C(F)(F)F)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,6436606
[Cr+3].[Cr+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,24930
[Na+].[Na+].O[Te](O)(=O)=O,159260
[H+].[Cl-].CCN(CC)c1cccc(O)c1,175876
[Pd++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,24932
[Na+].[Na+].[O-][Se]([O-])=O,24934
O.O.O.O.O.[Na+].[Na+].[O-][Te]([O-])(=O)=O,198005
[O-][N+]=O,3032552
[Tl+].[O-][N+]([O-])=O,24937
[Cu++].O[P](O)(=O)O[P](O)(O)=O,24940
[Na+].O[As](O)(O)=O,24262
CO[C@@H](Cc1ccccc1)[C@@H](C)/C=C(C)/C=C/[C@@H]2NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]2C)C(O)=O)C(O)=O,445434
[Cl-].[Cl-].[Cd++],24633
[Ce+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,24948
[Cl-].CCCCCCCC[N+](C)(C)C,24949
OC(=O)c1cc(Nc2ccccc2)c(cc1Nc3ccccc3)C(O)=O,82351
COc1ccccc1/C=C/C(O)=O,734154
[Na+].[O-]c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,70533
OC(=O)\C(=C/c1ccccc1)C#N,702282
[Cl-].[Cl-].[Hg+][Hg+],24956
[K+].[K+].[O-][S]([O-])=O,24958
OC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,13896
COC(=O)c1ccccc1[S](=O)(=O)NC(=O)N(C)c2nc(C)nc(OC)n2,153909
CN(C)c1cccc2c1cccc2[S](=O)(=O)NCCCCCN,4247
[NH4+].O[P](O)([O-])=O,24402
[Cd++].[O-][S]([O-])(=O)=O,24962
[Ca++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,24963
[Mn++].[O-][S]([O-])(=O)=O,24580
